"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Ansonia","0900901220","2009-2013","Female","Percent","Employed or Enrolled Youth",97.22
"Ansonia","0900901220","2009-2013","Female","Percent","Margins of Error",46.55
"Ansonia","0900901220","2009-2013","Male","Number","Employed or Enrolled Youth",466
"Ansonia","0900901220","2009-2013","Male","Number","Margins of Error",181
"Ansonia","0900901220","2009-2013","Male","Percent","Employed or Enrolled Youth",98.11
"Ansonia","0900901220","2009-2013","Male","Percent","Margins of Error",52.15
"Ansonia","0900901220","2010-2014","Total","Number","Employed or Enrolled Youth",889
"Ansonia","0900901220","2010-2014","Total","Number","Margins of Error",281
"Ansonia","0900901220","2010-2014","Total","Percent","Employed or Enrolled Youth",98.67
"Ansonia","0900901220","2010-2014","Total","Percent","Margins of Error",42.58
"Ansonia","0900901220","2010-2014","Female","Number","Employed or Enrolled Youth",386
"Ansonia","0900901220","2010-2014","Female","Number","Margins of Error",145
"Ansonia","0900901220","2010-2014","Female","Percent","Employed or Enrolled Youth",97.97
"Ansonia","0900901220","2010-2014","Female","Percent","Margins of Error",50.31
"Ansonia","0900901220","2010-2014","Male","Number","Employed or Enrolled Youth",503
"Ansonia","0900901220","2010-2014","Male","Number","Margins of Error",240
"Ansonia","0900901220","2010-2014","Male","Percent","Employed or Enrolled Youth",99.21
"Ansonia","0900901220","2010-2014","Male","Percent","Margins of Error",67.29
"Ansonia","0900901220","2011-2015","Total","Number","Employed or Enrolled Youth",919
"Ansonia","0900901220","2011-2015","Total","Number","Margins of Error",235
"Ansonia","0900901220","2011-2015","Total","Percent","Employed or Enrolled Youth",92.08
"Ansonia","0900901220","2011-2015","Total","Percent","Margins of Error",30.84
"Ansonia","0900901220","2011-2015","Female","Number","Employed or Enrolled Youth",317
"Ansonia","0900901220","2011-2015","Female","Number","Margins of Error",120
"Ansonia","0900901220","2011-2015","Female","Percent","Employed or Enrolled Youth",82.12
"Ansonia","0900901220","2011-2015","Female","Percent","Margins of Error",40.66
"Ansonia","0900901220","2011-2015","Male","Number","Employed or Enrolled Youth",602
"Ansonia","0900901220","2011-2015","Male","Number","Margins of Error",202
"Ansonia","0900901220","2011-2015","Male","Percent","Employed or Enrolled Youth",98.37
"Ansonia","0900901220","2011-2015","Male","Percent","Margins of Error",46.06
"Ansonia","0900901220","2012-2016","Total","Number","Employed or Enrolled Youth",805
"Ansonia","0900901220","2012-2016","Total","Number","Margins of Error",236
"Ansonia","0900901220","2012-2016","Total","Percent","Employed or Enrolled Youth",86.93
"Ansonia","0900901220","2012-2016","Total","Percent","Margins of Error",34.48
"Ansonia","0900901220","2012-2016","Female","Number","Employed or Enrolled Youth",307
"Ansonia","0900901220","2012-2016","Female","Number","Margins of Error",139
"Ansonia","0900901220","2012-2016","Female","Percent","Employed or Enrolled Youth",74.88
"Ansonia","0900901220","2012-2016","Female","Percent","Margins of Error",47.18
"Ansonia","0900901220","2012-2016","Male","Number","Employed or Enrolled Youth",498
"Ansonia","0900901220","2012-2016","Male","Number","Margins of Error",190
"Ansonia","0900901220","2012-2016","Male","Percent","Employed or Enrolled Youth",96.51
"Ansonia","0900901220","2012-2016","Male","Percent","Margins of Error",50.37
"Ansonia","0900901220","2013-2017","Total","Number","Employed or Enrolled Youth",674
"Ansonia","0900901220","2013-2017","Total","Number","Margins of Error",200
"Ansonia","0900901220","2013-2017","Total","Percent","Employed or Enrolled Youth",80.33
"Ansonia","0900901220","2013-2017","Total","Percent","Margins of Error",32.87
"Ansonia","0900901220","2013-2017","Female","Number","Employed or Enrolled Youth",325
"Ansonia","0900901220","2013-2017","Female","Number","Margins of Error",124
"Ansonia","0900901220","2013-2017","Female","Percent","Employed or Enrolled Youth",67.99
"Ansonia","0900901220","2013-2017","Female","Percent","Margins of Error",35.17
"Ansonia","0900901220","2013-2017","Male","Number","Employed or Enrolled Youth",349
"Ansonia","0900901220","2013-2017","Male","Number","Margins of Error",157
"Ansonia","0900901220","2013-2017","Male","Percent","Employed or Enrolled Youth",96.68
"Ansonia","0900901220","2013-2017","Male","Percent","Margins of Error",62.44
"Ansonia","0900901220","2014-2018","Total","Number","Employed or Enrolled Youth",633
"Ansonia","0900901220","2014-2018","Total","Number","Margins of Error",202
"Ansonia","0900901220","2014-2018","Total","Percent","Employed or Enrolled Youth",73.78
"Ansonia","0900901220","2014-2018","Total","Percent","Margins of Error",30.39
"Ansonia","0900901220","2014-2018","Female","Number","Employed or Enrolled Youth",312
"Ansonia","0900901220","2014-2018","Female","Number","Margins of Error",149
"Ansonia","0900901220","2014-2018","Female","Percent","Employed or Enrolled Youth",59.43
"Ansonia","0900901220","2014-2018","Female","Percent","Margins of Error",37.05
"Ansonia","0900901220","2014-2018","Male","Number","Employed or Enrolled Youth",321
"Ansonia","0900901220","2014-2018","Male","Number","Margins of Error",136
